,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
1006,Deserving Life,0.0,['Deserving Life'],['Free to Play'],50000 - 100000,1,0,2017,1,0.8275862068965517
1010,Fallen Earth Classic,0.0,['Little Orbit'],['Free to Play',1000000 - 2000000,62,89,2012,1,0.5850367947669665
1015,LuckCatchers,0.0,['DiP Online'],['Free to Play',200000 - 500000,49,9,2016,1,0.5454545454545454
1019,Trivia Vault: Health Trivia Deluxe,1.49,['Ripknot Systems'],['Casual',0 - 20000,635,0,2018,1,0.582089552238806
1021,Necromunda: Hired Gun,39.99,['Focus Entertainment'],['Action',100000 - 200000,577,179,2021,1,0.6971569839307787
1022,Scary Humans,9.99,['Gabhel Studios'],['Indie'],0 - 20000,30,0,2016,3,1.0
1024,Tennis Elbow 4,29.99,['Mana Games'],['Indie',0 - 20000,28,49,2021,2,0.9158415841584159
1025,Fallout: New Vegas,9.99,['Bethesda Softworks'],['Action',2000000 - 5000000,976,5776,2010,1,0.9646942284688995
1028,Disturbed,0.0,['iBlackpen'],['Adventure',100000 - 200000,39,1,2016,3,0.9236363636363636
1031,Crowd Control,0.0,['GrabTheGames'],['Free to Play',20000 - 50000,5,0,2019,1,0.7692307692307693
1032,The Lab,0.0,['Valve'],['Free to Play'],1000000 - 2000000,37,43,2016,1,0.9518925974268133
1042,BARRIER X,2.99,['HypeTrain Digital'],['Action',200000 - 500000,153,5,2016,1,0.8688969258589512
1048,Project Lounge,0.99,['SA Industry'],['Casual',0 - 20000,730,1,2021,1,0.7222222222222222
1052,Crash Wheels,4.99,['Quiet River'],['Indie',100000 - 200000,323,3,2018,1,0.86328125
1054,Remnants,15.99,['Immortal Hand Studios'],['Action',20000 - 50000,233,26,2021,1,0.7557603686635944
1064,Better Late Than DEAD,4.99,['Excalibur Publishing'],['Action',50000 - 100000,393,0,2016,2,0.28587319243604004
1065,NEKOPARA Vol. 0,2.99,['Sekai Project'],['Casual',500000 - 1000000,84,25,2015,1,0.9405248504235532
1067,Emily is Away <3,9.99,['Kyle Seeley'],['Adventure',100000 - 200000,395,23,2021,2,0.941744966442953
1083,S.T.R.E.T.C.H.,0.99,['Metal Fox'],['Action',0 - 20000,1,0,2018,1,0.3448275862068966
1084,DEUS VULT | Online VR sword fighting,4.99,['raptor lab'],['Violent',0 - 20000,260,0,2017,1,0.6351351351351351
1085,Darksiders Genesis,29.99,['THQ Nordic'],['Action',500000 - 1000000,233,87,2019,1,0.8349051715203648
1086,Car Mechanic Simulator 2021,24.99,['PlayWay S.A.'],['Racing',200000 - 500000,1058,1518,2021,1,0.9566162040930755
1094,Dorfromantik,13.99,['Toukana Interactive'],['Casual',200000 - 500000,316,834,2022,1,0.9701401584399756
1099,Paws and Soul: First Step,0.0,['Games Operators'],['Adventure',0 - 20000,37,0,2020,1,0.582089552238806
1101,There Is No Game: Jam Edition 2015,0.0,['Draw Me A Pixel'],['Adventure',200000 - 500000,22,12,2020,2,0.9717601547388781
1106,Volcanoids,19.99,['Volcanoid'],['Action',100000 - 200000,523,111,2019,2,0.8583403185247276
1110,League of Evil,7.99,['Ratalaika Games S.L.'],['Action',20000 - 50000,414,0,2016,2,0.8035714285714286
1115,Syberia 3,29.99,['Microids'],['Adventure'],200000 - 500000,426,52,2017,2,0.514808362369338
1120,Children of the Nile: Enhanced Edition,7.99,"['Tilted Mill Entertainment, Inc.']",['Strategy',50000 - 100000,1007,9,2008,1,0.8333333333333334
1123,The Counting Kingdom,6.99,['Little Worlds Interactive'],['Casual',0 - 20000,230,1,2014,2,0.9714285714285714
1130,Langoth,0.74,['Sometimes You'],['Action',100000 - 200000,261,1,2017,3,0.4603174603174603
1132,Jump King,12.99,['Nexile'],['Action',500000 - 1000000,213,144,2019,1,0.9041923259118901
1135,Get The Gems,2.99,['PSY LABS'],['Action',50000 - 100000,272,0,2016,1,0.8484848484848485
1141,Wanba Warriors,4.99,['BD Games'],['Action',200000 - 500000,187,34,2020,1,0.9186164801627671
1142,Arclight Cascade,0.0,['Hexdragonal Games'],['Action',0 - 20000,236,0,2015,2,0.8048780487804879
1150,Morphblade,4.99,['Suspicious Developments'],['Casual',100000 - 200000,30,5,2017,1,0.9166666666666666
1152,Fictorum,9.99,['Scraping Bottom Games'],['Action',100000 - 200000,198,4,2017,1,0.7712287712287712
1158,Gedonia,11.99,['Kazakov Oleg'],['RPG',100000 - 200000,260,32,2020,1,0.9029435163086714
1171,Love Esquire - RPG/Dating Sim/Visual Novel,24.99,['Yangyang Mobile'],['Indie',20000 - 50000,1102,5,2019,3,0.9134107708553326
1172,Dead Island: Riptide Definitive Edition,19.99,['Deep Silver'],['Action'],200000 - 500000,340,149,2016,2,0.7519025875190258
1173,Last Word,9.99,['Komodo'],['Adventure',20000 - 50000,273,2,2015,3,0.8284182305630027
1175,Conception II: Children of the Seven Stars,19.99,"['Spike Chunsoft Co., Ltd.']",['RPG'],20000 - 50000,495,5,2016,1,0.8205980066445183
1178,BOROS,4.99,['Kraken Bit'],['Action',0 - 20000,279,0,2017,3,0.96
1180,The Immortal Mayor,19.99,['Yooreka Studio'],['Simulation',100000 - 200000,263,27,2021,1,0.6730319563522993
1181,Middle-earth™: Shadow of War™,49.99,['WB Games'],['Action',2000000 - 5000000,1283,2449,2017,1,0.8723811000025834
1185,Rise of Liberty,3.99,['Sandstorm Studios Inc.'],['Indie',50000 - 100000,112,7,2019,2,0.8643457382953181
1187,TRON RUN/r,19.99,['Disney'],['Action',20000 - 50000,193,0,2016,1,0.7954545454545454
1192,Ichi,4.99,['Stolen Couch Games'],['Casual',100000 - 200000,212,1,2014,3,0.864951768488746
1193,Nine Parchments,4.99,['Frozenbyte'],['Action',500000 - 1000000,308,55,2017,1,0.7743575261225643
1203,WORLD OF HORROR,14.99,['Ysbryd Games'],['Indie',200000 - 500000,208,34,2020,2,0.9468904244817374
1210,Will To Live Online,0.0,['AlphaSoft LLC'],['Action',500000 - 1000000,55,1565,2018,1,0.7248843227982119
1215,Morbid: The Seven Acolytes,24.99,['Merge Games'],['Action',20000 - 50000,116,6,2020,1,0.7712854757929883
1220,Carrier Deck,9.99,['Slitherine Ltd.'],['Simulation'],50000 - 100000,1211,29,2017,1,0.8816276202219482
1230,Plantera,2.99,['VaragtP'],['Casual',200000 - 500000,291,17,2016,1,0.8847679492264974
1231,Freight Tycoon Inc.,4.99,['Fulqrum Publishing'],['Strategy'],20000 - 50000,31,4,2014,1,0.5235732009925558
1232,Rocket Arena,4.99,['Electronic Arts'],['Action',100000 - 200000,534,1,2020,1,0.615713522180652
1236,rFactor 2,7.99,['Studio 397'],['Racing',200000 - 500000,4060,724,2015,1,0.8067427209262727
1245,Sea Dogs: To Each His Own - Pirate Open World RPG,14.99,"['Akella', 'Valkyrie Initiative']",['RPG'],100000 - 200000,6738,131,2012,1,0.7527693856998993
1250,I'm on Observation Duty 2: Timothy's Revenge,2.99,['Notovia'],['Indie',0 - 20000,10,19,2020,3,0.9186602870813397
1252,Planetary Annihilation: TITANS,29.99,['Planetary Annihilation Inc'],['Action',500000 - 1000000,521,196,2015,3,0.8452342225113858
1254,Suzerain,14.99,['Fellow Traveller'],['Adventure',500000 - 1000000,784,98,2020,2,0.9294729027468448
1263,Conga Master,9.99,['Rising Star Games'],['Action',0 - 20000,320,0,2016,3,0.9
1270,Project Tarvotan,0.99,['FlagmanJeremy'],['Indie',20000 - 50000,316,14,2015,2,0.46153846153846156
1271,Tales from the Borderlands,19.99,['2K'],['Adventure'],200000 - 500000,628,15,2021,1,0.9523751596618211
1272,Ikai,14.99,"['PM Studios, inc.']",['Adventure',0 - 20000,430,3,2022,1,0.8322147651006712
1274,Bionic Commando: Rearmed,9.99,['Capcom'],['Action'],200000 - 500000,98,0,2009,1,0.6105717367853291
1275,The Occupation,29.99,['Humble Games'],['Adventure',0 - 20000,204,3,2019,1,0.6223776223776224
1277,Dragon: The Game,17.99,['Red Level Games'],['Action',20000 - 50000,13,0,2014,2,0.32982917214191854
1283,God Mode,0.0,['ATLUS USA'],['Action'],200000 - 500000,241,2,2013,1,0.7007652033830044
1289,Garry's Mod,9.99,['Valve'],['Indie',20000000 - 50000000,1239,37574,2006,3,0.9659309550937945
1290,Public Defense Corp,14.99,['Kagura Games'],['Indie',20000 - 50000,329,6,2020,1,0.8607594936708861
1291,Ragnarok Online 2,0.0,['Gravity Interactive'],['Free to Play',1000000 - 2000000,117,4,2013,1,0.5884665792922673
1293,奇迹一刻 Surmount,14.99,['CE-Asia'],['Adventure',20000 - 50000,525,2,2022,1,0.9366795366795366
1297,LOST EGG 2: Be together,2.99,['KIMIDORI SOFT'],['Action',0 - 20000,26,6,2021,1,0.8670520231213873
1309,Soda Crisis,10.99,['bilibili'],['Action'],20000 - 50000,404,28,2022,1,0.9269602577873255
1314,SCUM,34.99,['Gamepires'],['Action',2000000 - 5000000,965,10223,2018,1,0.7450837483634989
1316,Multiwinia,9.99,['Introversion Software'],['Indie'],500000 - 1000000,61,2,2008,2,0.8195777351247601
1322,Mess Adventures,2.99,['Marvelous Games'],['Action',0 - 20000,391,4,2020,2,0.804147465437788
1330,Stephen's Sausage Roll,29.99,['increpare games'],['Indie'],50000 - 100000,71,10,2016,3,0.9530477759472817
1343,Hentai Girl Division,1.99,['Mature Games'],['Action',20000 - 50000,113,2,2019,1,0.8578680203045685
1346,Sonic Adventure DX,7.99,['SEGA'],[],500000 - 1000000,126,115,2011,1,0.8981429897864438
1347,Wild Guns Reloaded,14.99,['Natsume Inc.'],['Action'],50000 - 100000,316,3,2017,1,0.8597560975609756
1349,UNO,9.99,['Ubisoft Entertainment'],['Casual'],2000000 - 5000000,222,820,2017,1,0.7350236629803094
1350,Nowhere Prophet,24.99,['No More Robots'],['Indie',50000 - 100000,160,7,2019,3,0.7400881057268722
1363,Kindergarten,4.99,['SmashGames'],['Violent',200000 - 500000,193,47,2017,3,0.9574229691876751
1367,Spooky's Jump Scare Mansion,0.0,['Lag Studios'],['Action',1000000 - 2000000,28,29,2015,1,0.9287248734080098
1368,Disjunction,15.99,['Fireshine Games'],['Action',50000 - 100000,732,0,2021,1,0.8476190476190476
1370,Tower Unite,19.99,['PixelTail Games'],['Action',500000 - 1000000,374,370,2016,1,0.9001521143900213
1375,Death Ray Manta SE,1.99,['Thalamus Digital'],['Action',20000 - 50000,208,0,2015,1,0.7537688442211056
1377,NARAKA: BLADEPOINT,19.99,['NetEase Games Montréal'],['Action',5000000 - 10000000,1683,61338,2021,1,0.782826872314165
1380,CastleStorm,9.99,['Zen Studios'],['Action',100000 - 200000,227,2,2013,1,0.8950575490859851
1384,0RBITALIS,9.99,['Mastertronic'],['Indie',50000 - 100000,121,0,2015,2,0.7137931034482758
1387,Spriter Pro,59.99,['BrashMonkey'],['Animation & Modeling',50000 - 100000,135,6,2014,3,0.7720797720797721
1388,ASMR Universe,2.99,['Colossal Wreck'],['Utilities'],100000 - 200000,294,0,2016,1,0.6964285714285714
1400,The Book of Bondmaids,6.99,['kamti'],['Indie'],0 - 20000,385,7,2021,3,
1401,Starmancer,19.99,['Chucklefish'],['Indie',20000 - 50000,721,7,2021,3,0.654843110504775
1409,Sherlock Holmes - Nemesis,1.99,['Frogwares'],['Adventure',100000 - 200000,424,9,2008,1,0.7302325581395349
1414,The Red Solstice,9.99,['Ironward'],['Action',1000000 - 2000000,290,4,2015,1,0.7247238742565846
1418,NARUTO: Ultimate Ninja STORM,19.99,['BANDAI NAMCO Entertainment'],['Action',200000 - 500000,388,66,2017,1,0.7459386281588448
1421,Streamline,2.99,['Frostcloud Studios'],['Action',20000 - 50000,1,0,2015,1,0.5818181818181818
1425,Bounty Battle,19.99,['Dark Screen Games'],['Action',0 - 20000,5,0,2020,1,0.30612244897959184
1438,BlazBlue: Chronophantasma Extend,29.99,"['H2 Interactive Co., Ltd.']",['Action'],200000 - 500000,355,9,2016,1,0.9123134328358209
1442,Words for Evil,2.99,['Dylan Loney'],['Action',20000 - 50000,304,0,2014,2,0.8
1443,Momodora III,1.99,['rdein'],['Action',50000 - 100000,114,2,2014,1,0.9389038634321654
1444,For The King,5.99,['Curve Games'],['Adventure',1000000 - 2000000,750,893,2018,3,0.8898049109839735
1453,Mad Games Tycoon 2,24.99,['Eggcode'],['Casual',200000 - 500000,2070,157,2021,1,0.9331444759206798
1465,Meeple Station,19.99,"['Modularity', 'WhisperGames']",['Casual',20000 - 50000,1814,5,2020,3,0.6336898395721925
1467,9th Dawn II,5.99,['Valorware'],['Action',0 - 20000,172,1,2016,1,0.8441558441558441
1470,Gal*Gun: Double Peace,29.99,['PQube'],['Action',100000 - 200000,301,2,2016,1,0.868188894654904
1475,Chowderchu,2.99,['Ryan Jensen'],['Action',20000 - 50000,306,0,2016,1,0.5892857142857143
1477,YOU DON'T KNOW JACK TELEVISION,2.99,"['Jackbox Games, Inc.']",['Casual',0 - 20000,51,0,2013,1,0.6363636363636364
1480,Real Boxing™,4.99,['Vivid Games S.A.'],['Sports'],100000 - 200000,156,7,2014,1,0.6352753391859537
1489,Interstellar Rift,6.79,['Iceberg Interactive'],['Action',50000 - 100000,1588,25,2020,1,0.7154639175257732
1491,Big Journey to Home,2.99,['The Light Sword Team'],['Indie',20000 - 50000,346,0,2015,3,0.4090909090909091
1502,Blaite,0.49,['Akim Games'],['Action',200000 - 500000,236,11,2017,3,0.7189409368635438
1507,Lili: Child of Geos - Complete Edition,14.99,"['BitMonster, Inc.']",['Adventure',100000 - 200000,332,0,2014,1,0.8625
1509,Jamestown,9.99,['Final Form Games'],['Action',500000 - 1000000,56,3,2011,2,0.9441715051362215
1520,Glittermitten Grove,9.99,[''],['Simulation',20000 - 50000,170,0,2016,3,0.8298319327731093
1523,Killer Instinct,39.99,['Xbox Game Studios'],['Action'],100000 - 200000,112,29,2017,1,0.9184202940328625
1528,Pillar,7.99,['MichaelArts'],['Adventure',20000 - 50000,584,0,2015,1,0.673469387755102
1531,Time Mysteries 3: The Final Enigma,9.99,['Artifex Mundi'],['Adventure',100000 - 200000,273,1,2014,3,0.8390501319261213
1538,Sky Road,0.99,['Lev Gogol'],['Casual',20000 - 50000,8,0,2017,1,0.5172413793103449
1551,Where's My Mommy?,5.99,['Exquisite Games'],['Action',0 - 20000,373,0,2016,3,0.7797619047619048
1554,NEKOPARA Extra,4.99,['Sekai Project'],['Casual',200000 - 500000,325,14,2018,1,0.9765917602996255
1555,Destropolis,5.99,"['Games Incubator', 'PlayWay S.A.']",['Action',0 - 20000,18,1,2020,1,0.9290780141843972
1563,Sapper's bad dream,0.99,['WTFOMGames'],['Action',100000 - 200000,224,0,2016,2,0.4827586206896552
1571,Wildermyth,24.99,"['Worldwalker Games LLC', 'WhisperGames']",['Indie',200000 - 500000,359,685,2021,3,0.9511353175820804
1572,The Red Strings Club,14.99,['Devolver Digital'],['Adventure',200000 - 500000,323,13,2018,3,0.9423916892928816
1573,Need for Speed™,29.99,['Electronic Arts'],['Action',500000 - 1000000,1304,149,2020,1,0.7100097339390007
1576,SWARMRIDERS,0.0,['Walter Machado'],['Action',100000 - 200000,4,0,2016,2,0.892018779342723
1577,NOBUNAGA'S AMBITION: Taishi,59.99,"['KOEI TECMO GAMES CO., LTD.']",['Simulation'],200000 - 500000,2397,486,2017,1,0.4764044943820225
1582,Lynne,0.0,['ebi-hime'],['Free to Play',50000 - 100000,69,1,2018,3,0.7810650887573964
1584,Gloomy Eyes,2.69,['ARTE France'],['Adventure',0 - 20000,261,0,2020,1,0.8835616438356164
1587,Super Meat Boy Forever,19.99,['Team Meat'],['Action',20000 - 50000,29,4,2022,1,0.5051369863013698
1589,Handy Harry's Haunted House Services,4.99,['Bismuth Games'],['Indie',0 - 20000,60,0,2020,1,0.8870056497175142
1595,Richard & Alice,5.99,['Owl Cave'],['Adventure',50000 - 100000,388,2,2014,1,0.7341772151898734
1597,Back to the Future: The Game,0.0,['Telltale Games'],['Adventure'],500000 - 1000000,141,3,2010,2,0.882534095908491
1604,Uurnog Uurnlimited,9.99,['Raw Fury'],['Indie'],0 - 20000,4,1,2017,2,0.7857142857142857
1614,The Test: Hypothesis Rising,1.99,['Randumb Studios'],['Adventure',50000 - 100000,98,2,2020,1,0.9798684472792506
1617,112 Operator,24.99,['Games Operators'],['Indie',200000 - 500000,465,95,2020,2,0.8781467595072309
1619,Karma Miwa,0.0,['Space Fractal'],['Action',20000 - 50000,231,0,2016,1,0.6923076923076923
1623,Awesomenauts - the 2D moba,0.0,['Ronimo Games'],['Action',2000000 - 5000000,261,197,2012,3,0.8482837094633037
1627,Bad North: Jotunn Edition,14.99,['Raw Fury'],['Action',500000 - 1000000,184,83,2018,2,0.9218541078591591
1634,Immersion,9.99,['Bullid Games'],['Action',20000 - 50000,271,0,2016,3,0.3125
1637,Sekiro™: Shadows Die Twice - GOTY Edition,59.99,"['Activision (Excluding Japan and Asia)', 'FromSoftware (Japan)', '方块游戏 (Asia)']",['Action',5000000 - 10000000,1312,6168,2019,1,0.950544649618454
1639,GOKEN,14.99,['GIANTY Inc.'],['Action',0 - 20000,102,0,2017,2,0.6923076923076923
1640,Shank,9.99,['Klei Entertainment'],['Action',200000 - 500000,137,8,2010,3,0.8971619365609349
1642,Nostradamus - The Four Horsemen of the Apocalypse,7.99,['Microïds Indie'],['Adventure'],0 - 20000,69,0,2018,1,0.3793103448275862
1649,Riding Club Championships,0.0,['Artplant'],['Action',100000 - 200000,104,15,2016,2,0.7524916943521595
1655,TowerFall Ascension,14.99,['Matt Makes Games Inc.'],['Action',200000 - 500000,139,20,2014,3,0.9474576271186441
1660,Chasing Tails ~A Promise in the Snow~,7.99,['FCD Games'],['Adventure'],20000 - 50000,162,6,2021,3,0.9486725663716814
1665,LEGO® Harry Potter: Years 5-7,19.99,['Warner Bros. Interactive Entertainment'],['Adventure'],200000 - 500000,1020,107,2012,1,0.891398783666377
1668,POSTAL: Brain Damaged,19.99,"['Running With Scissors', 'Hyperstrange']",['Action'],50000 - 100000,150,63,2022,1,0.9635124298315958
1677,YuuYuu Jiteki no Yuukarin,15.99,['NUU'],['Action'],0 - 20000,204,1,2021,1,0.9411764705882353
1695,Pyre,19.99,['Supergiant Games'],['Action',500000 - 1000000,181,25,2017,3,0.9065170258895549
1696,Age of Steel: Recharge,6.99,[''],['Action',100000 - 200000,264,1,2016,2,0.6954732510288066
1699,Onimusha: Warlords,19.99,"['CAPCOM CO., LTD']",['Action'],100000 - 200000,424,11,2019,1,0.9321623258631133
1701,Taste of Power,14.99,['OneOcean LLC'],['Strategy'],0 - 20000,45,0,2019,3,0.676923076923077
1704,Port of Call,0.0,['Underdog Games'],['Adventure',50000 - 100000,87,1,2015,2,0.891961970613656
1708,Into The Flames,19.99,['PlayWay S.A.'],['Action',0 - 20000,186,57,2020,1,0.9454887218045113
1716,UFO2: Extraterrestrials,34.99,['Chaos Concept'],['RPG',0 - 20000,46,5,2021,1,0.5892857142857143
1737,Ancestors Legacy Free Peasant Edition,0.0,['Fulqrum Publishing'],['Strategy'],100000 - 200000,59,1,2018,1,0.7779255319148937
1738,The Fifth Day,14.99,['Touz'],['Action',100000 - 200000,27,0,2014,2,0.4015151515151515
1749,Moonstone Tavern - A Fantasy Tavern Sim!,7.99,['Trevor Jones'],['Indie',20000 - 50000,1112,0,2016,1,0.4925373134328358
1757,Mining & Tunneling Simulator,1.99,['United Independent Entertainment GmbH'],['Simulation'],50000 - 100000,14,0,2014,1,0.20610687022900764
1759,Rise of Man,9.99,['Darkcross Games'],['Indie',20000 - 50000,5,0,2017,2,0.19285714285714287
1761,Ori and the Will of the Wisps,29.99,['Xbox Game Studios'],['Action'],2000000 - 5000000,937,1000,2020,1,0.9647672219922352
1767,Bus Simulator 16,9.99,['astragon Entertainment'],['Simulation'],200000 - 500000,745,20,2016,2,0.6904544068313511
1768,Reverse Fantasy Legend,18.99,['废材炼金术士'],['Adventure',0 - 20000,226,0,2017,1,0.5526315789473685
1776,Evoland Legendary Edition,19.99,['Shiro Unlimited'],['Action',100000 - 200000,373,27,2019,3,0.8224617129892229
1780,The Sandbox,4.99,['PIXOWL INC.'],['Casual',20000 - 50000,23,3,2015,1,0.575812274368231
1781,Nash Racing,0.55,['Tero Lunkka'],['Indie',100000 - 200000,278,2,2017,1,0.4370860927152318
1786,Q-YO Blaster,9.99,['TEAM Black Hat Robot'],['Action',0 - 20000,178,0,2018,1,0.9451219512195121
1791,The Blue Flamingo,9.99,['Might and Delight'],['Action',200000 - 500000,183,0,2014,1,0.46511627906976744
1793,Winexy,0.49,['GrabTheGames'],['Adventure',50000 - 100000,152,0,2017,1,0.6283783783783784
1796,Explodemon,0.89,['Curve Digital'],['Action',20000 - 50000,20,0,2014,1,0.6494845360824743
1799,Intrusion 2,9.99,['Aleksey Abramenko'],['Action',200000 - 500000,31,3,2012,2,0.8680465717981889
1800,Coin Crypt,9.99,['Greg Lobanov'],['Indie',50000 - 100000,355,2,2014,2,0.8679245283018868
1808,Iron Armada,0.0,['Bluedrake42 Limited Company'],['Action',0 - 20000,3,0,2017,1,0.8092105263157895
1815,Kane & Lynch 2: Dog Days,9.99,['Square Enix'],['Action'],500000 - 1000000,107,12,2010,1,0.6238339245828406
1818,Navy Field 2 : Conqueror of the Ocean,0.0,['SDEnterNet'],['Action',500000 - 1000000,47,1,2015,1,0.44541484716157204
1819,Mafia II: Definitive Edition,29.99,['2K'],['Action',500000 - 1000000,179,692,2020,1,0.6924304908873221
1847,Purrfect Apawcalypse: Purrgatory Furever,5.99,['90% Studios'],['Adventure',0 - 20000,254,0,2021,3,0.9904761904761905
1849,Razenroth,4.99,['Enitvare'],['Action',50000 - 100000,302,0,2015,2,0.8107142857142857
1854,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,0.0,['Square Enix'],['RPG'],200000 - 500000,2789,62,2018,1,0.8616242593238062
1856,Elisa: Seduce the Innkeeper,4.99,['Neoclassic Games'],['Casual',20000 - 50000,189,0,2017,2,0.7247191011235955
1858,Chicken Assassin: Reloaded,4.99,['Akupara Games'],['Action',0 - 20000,1847,0,2016,3,0.9310793237971391
1861,BomberZone,0.99,['exosyphen studios'],['Action',50000 - 100000,303,5,2016,3,0.712
1862,OR,1.99,[''],['Casual',200000 - 500000,214,0,2017,1,0.36477987421383645
1864,Obscuritas,14.99,['Ravenscourt'],['Adventure'],50000 - 100000,70,1,2016,2,0.6404494382022472
1867,AMNESIA,9.99,['Super Alex'],['Adventure',0 - 20000,428,16,2022,1,
1868,Wattam,19.99,['Annapurna Interactive'],['Adventure',0 - 20000,1,2,2020,1,0.8554216867469879
